Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2012-03-14,Chelsea see off Napoli in extra-time thriller; Real Madrid ease through,New arrest in UK phone hacking probe,"Federer, Nadal join Djokovic in Indian Wells quarterfinals",Beckham's Olympic football dream still burns bright,Formula One 2012: Mercedes,Formula One 2012: Lotus,Formula One 2012: Sauber,Formula One 2012: Caterham,Formula One 2012: Force India,Formula One 2012: Williams
2012-03-15,Athletic and Sporting end Manchester's Europa League run,Barcelona star Abidal needs new liver,Crews search for missing Norwegian military plane,Woods says he'll be ready for the Masters,Latest Formula One standings,UK woman arrested over suspected terror offenses,2 French soldiers killed in shooting,From the baseline to Bollywood: Indian tennis ace plays double agent,Will football clubs play fair financially?,Evictions dash immigrants' dreams of better life in Europe
2012-03-16,Veteran Jimenez eyes European Tour record with win in Andalucia,Federer faces Nadal in semifinals; Azarenka vs. Sharapova in final,French authorities link soldiers' fatal shootings,Djokovic faces Isner in semifinals; Sharapova survives scare,Rules of the road: F1 changes explained,Barcelona and Real Madrid kept apart in Champions League draw,Schumacher outshines F1 champion Vettel in wet Melbourne session,Sister of British journalist held in Libya hopeful for release,Head of Anglican church to step down,Belgium mourns 28 killed in bus crash
2012-03-17,Players pray for Muamba's recovery,Soccer star Muamba still 'critical' after on-pitch collapse,Teen Manassero boosts Masters hopes,Ex-Nazi death camp guard Demjanjuk dies in Germany,Hamilton on pole as McLaren dominate F1 qualifying in Australia,Was Saint Patrick a slave-trading tax collector?,,,,
2012-03-18,Late Malaga equalizer shocks Real Madrid,British journalists freed in Libya,Azarenka crushes Sharapova in final,More than 100 people detained in opposition rally in Moscow,Quesne wins maiden European Tour title,UK condemns execution of convicted Minsk subway bombers,Man United thrash Wolves to go four points clear,Isner shocks Djokovic and faces Federer in final,Fears for stricken soccer player Muamba's recovery,Germany swears in new president after scandals
2012-03-19,Woods back from injury and on course for Masters challenge,Donald dispels doubts to regain top spot,"'Muamba collapse proves I was right to quit the game,' says ex professional",At least 2 dead in avalanche in Norway,Catherine passes the first speech ordeal,Stricken soccer star Muamba showing signs of improvement,Confidence is key for record-breaker Roger Federer,Soccer fans trash Greece's Olympic stadium,"Catherine, Duchess of Cambridge, gives first public address",France on high security alert after 4 killed in shooting at Jewish school
2012-03-20,Messi 'the best' after breaking Barcelona's all-time scoring record,Harry Potter actor jailed for 2 years over London riots,Bolton manager Coyle has 'brief chat' with recovering Muamba,"Fear, sadness and incomprehension on streets of Toulouse after deadly shooting",Library recovers tome missing for 100 years,Queen Elizabeth vows continued service in speech to Parliament,Money men: Soccer's richest stars,Small Spanish villages face big budget woes,Trial opens for 9 suspected militants in Spain,Prosecutor: France school gunman could strike again
2012-03-21,Three sent off as Real Madrid held; Bayern reach cup final,Late Nasri goal keeps Manchester City's title dream motoring,Winning returns for former number one's Williams and Clijsters,French killings refocus fears on 'solo' acts of terror,'Muamba was in effect dead for 78 minutes despite 15 heart shocks',Schumacher: Malaysia will be acid test for F1 title hopefuls,"NFL suspends New Orleans Saints coaches, GM for 'bounties' on opponents",Cancer victim Kleybanova wins comeback match in Miami,French attacks could inspire next generation of terrorists: Expert,Who was French gunman Mohammed Merah?
2012-03-22,Woods impresses with opening Arnold Palmer 69,Serena returns with victory in Miami,Divers find 5 more bodies in Costa Concordia wreckage,The price of success? How victory cost Force India $1.3m,Museum discovers 'new' Van Gogh painting,Blatter - Muamba recovery a miracle,Campaigning resumes after Toulouse massacre,Kurdish media reports Turkish attacks in mountains,Golf legend Palmer: The old Tiger Woods will be back,Golden goal: Can boys from Brazil achieve Olympic dream?
2012-03-23,Superb Woods shares Bay Hill lead,Azarenka maintains 2012 winning streak,Lotus v Lotus: What's in a name?,Giving it back: Golf's 'Pink Panther' invests in future stars,Ringing the changes: Big Ben's tower may be renamed for Queen's Jubilee,Russia launch anti-racism taskforce after Samba abuse,F1 teams dismiss share flotation idea; Hamilton heads Sepang practice,French prime minister defends police handling of gunman Merah,France asks: Were warnings missed on Toulouse killer?,Top Five picks for Imperial Beijing
2012-03-24,Woods holds narrow lead heading into Bay Hill final round,Prostitution ring in Madrid tattooed 19-year-old woman with bar code,Real keep six points clear of Barcelona in Spanish title race,Bayern keep pressure on Dortmund; Milan extend lead in Serie A,Bolton score emotional win in first match since Muamba collapse,Brother of siege gunman quizzed at French intelligence HQ,Hamilton claims pole from McLaren teammate Button in Malaysia,Ex-Russian banker hurt in London shooting,Discovered Mozart piece played in Austria,
2012-03-25,Tiger Woods earns first PGA Tour win since 2009,Woods ends victory drought with Arnold Palmer win,Nadal reaches last 16 in Miami; Murray gets walkover,Superb Dortmund hit Cologne for six,Queen Elizabeth stuns bride and groom by accepting invite,Ferrari's Alonso wins rain-hit Malaysian Grand Prix,France charges siege gunman's brother as an accomplice,,,
2012-03-26,Rooney goal puts Manchester United top of English Premier League,Ranieri sacked by slumping Inter Milan after Juventus defeat,Serena Williams avenges U.S. Open final loss to Stosur,Strauss-Kahn warned over alleged prostitution ring,Blowout brings Vettel back down to earth,Brazil passes hosting of 2015 Copa America to Chile,Recovering Muamba 'watched his team winning on TV',How did Mohammed Merah become a jihadist?,Police hunt taxi clue to Russian banker's London shooting,"Siege gunman's brother 'outraged' at charges, lawyer says"
2012-03-27,Bolton dream ends as Tottenham reach FA Cup semifinals,How 'soldier prince' Harry tore up royal rule book,CNN exclusive: Prince Harry moves next door to Wills and Kate,Madrid and Chelsea both claim away wins,Wozniacki ends Serena's hopes of record sixth Miami title,"Nobel laureates urge UK, Argentina to negotiate over Falklands",McIlroy turns Augusta collapse into major triumph,Strauss-Kahn: A reputation battered by sex allegations,Strauss-Kahn lawyers fight against prostitutes claim,"Surveillance video shows shooting that paralyzed girl, 5, in London"
2012-03-28,Spanish court dismisses woman's rape allegation against Saudi prince,Nadal sets up Murray semifinal in Miami,Milan earn draw against Barcelona; Gomez and Robben put Bayern in charge,"'An incredible champion - but very, very complex,' says Woods' former coach",UK journalist faces no charges over hacking probe,Unions prepare for general strike in Spain,Ferrari boss backs struggling Massa,,,
2012-03-29,Athletic ability leaves Schalke shell-shocked,Saudi prince condemns rape accuser after Spanish court dismisses her case,French parfumier Jean-Paul Guerlain fined over racist remarks,No. 1 Azarenka suffers first loss of 2012; Venus' return ends,Report: French gunman Merah buried near Toulouse,Surf and volley: Life's a beach as 'The Scud' finds peace,"Arrests, injuries reported as Spanish workers strike",,,
2012-03-30,"Former KGB chief a suicide, police say",Leaders Borussia Dortmund denied in eight-goal thriller,Djokovic to face Murray in Miami final,"Relief wells, 'heavy mud' plug being tried to stop North Sea gas leak",Hungarian president says he won't resign after plagiarism accusation,FIFA announces anti-corruption reforms after critical independent report,Former Romanian prime minister sentenced to probation for blackmail,Futuristic farm shop grows food in synthetic veg patch,2 found guilty of killing Northern Ireland policeman,Baywatch to burned rubber: Pamela Anderson's racing ambition
2012-03-31,Ronaldo and Higuain star as Real Madrid rout Osasuna,Radwanska puts Sharapova to the sword,Bayern cut gap with leaders Dortmund,Manchester City slip up against Sunderland,Petrov thanks fans for messages of support,"Flare on leaking oil platform extinguished, energy firm says",Tseng on course for sixth major at Kraft Nabisco,Lawyer: French Islamist group had no link with Toulouse gunman,Polar bear Knut's half-sister makes public debut,Far-right groups rally in Denmark against Islamic extremism
2012-04-01,Inter win nine-goal thriller under new coach Stramaccioni,Djokovic retains Miami title with straight sets win over Murray,Recording surfaces of alleged racial abuse by London police,Newcastle extend the misery for slumping Liverpool,Tseng has company in battle for first women's major,,,,,
2012-04-02,Late goals help Manchester United extend English league lead,Minnows Kiryat Shmona clinch Israeli title,"France deports 2 Islamic radicals, will expel 3 more",Sauber boss backs F1 budget cap,Irish Catholic Church looks into claims that priest showed gay porn to parents,UK online 'snooping' plan draws anger,Houston win puts Mahan in right state of mind for Masters,Hungary's president quits over alleged plagiarism,South Korea's Yoo takes first women's major of the year,"Falklands war wounds still fresh, 30 years later"
2012-04-03,Messi stars as Barca reach semifinals,Serena makes winning clay comeback,McIlroy: 'I wasn't ready to win Masters',"Muslim radicals plotted jihad in France, prosecutor alleges",Report: 17 killed in Russia market fire,,,,,
2012-04-04,Reports: Suicide victim cites Greek austerity,Chelsea earn Barcelona clash; Real Madrid ease past Cypriot minnows,The Masters by numbers: Magic and misery at Augusta National,Porto fined by UEFA for racist chants aimed at Man City's Mario Balotelli,Kate and William waxworks unveiled,Turkish coup leaders fail to appear in court  for health reasons,France arrests 10 suspected Islamists in fresh raids,,,
2012-04-05,"'Hungry dog' eats, vomits up treasured Masters tickets",Valencia lead trio of Spanish clubs into Europa League semis,Woods trails leader Westwood by five after battling 72 at Augusta,No injuries reported in French nuclear plant fire,Opinion: Bosnia's lesson for Syrian slaughter,Schumacher hopes to repay Chinese fans,Mourinho dismisses Chelsea's chances of upsetting Barcelona,Masters of the course: The greatest golfers' greatest years,Williams beats Jankovic in battle of former world number ones,UK broadcaster Sky News admits e-mail hacking
2012-04-06,Rights groups demand answers after prominent Russian journalist is attacked,Couples and Dufner lead Masters by one as Woods slips back,Isner powers to victory as U.S. draw level with France in Davis Cup,F1 urged to rethink Bahrain Grand Prix as protests continue,Bad boy Balotelli drives Manchester City manager to despair,Champion Stoner sets early pace in Qatar,"France has to be vigilant against Islamists, official says","Police: Man kills 4, wounds 3 in Hungary sword attack",Syrian refugees flood into Turkey,London's Metropolitan Police faces racism claims
